epoch,train_loss,train_acc,val_loss,val_acc,val_uf1,val_uar
1,1.4483213548512421,0.2062015503875969,1.6308911005655924,0.2,0.16397706347616187,0.2594310451453309
2,1.1053737018459526,0.3813953488372093,1.5557080427805583,0.3,0.23654755944291742,0.314625850340136
3,0.8395076173220494,0.49767441860465117,1.465563456217448,0.375,0.29852790897421916,0.37360853432282004
4,0.5525554647741392,0.627906976744186,1.4962373892466228,0.36666666666666664,0.288409435392194,0.3501082251082251
5,0.33963463588278425,0.7317829457364341,1.5144059975941977,0.35833333333333334,0.28762973703670525,0.3255256648113791
6,0.2402095262394395,0.7829457364341085,1.6228717645009358,0.35833333333333334,0.31803537526479475,0.33191609977324266
7,0.14086163500251697,0.8496124031007752,1.63231414159139,0.35,0.26020937449508874,0.2692486085343228
8,0.1213431213484254,0.8852713178294573,1.6064909458160401,0.3333333333333333,0.2573431780379286,0.2847351061636776
9,0.07876790600229604,0.9116279069767442,1.760537322362264,0.375,0.31154867185703244,0.3168934240362812
10,0.057386885831753415,0.9333333333333333,1.7515312989552816,0.3416666666666667,0.2538795328429475,0.2963821892393321
11,0.04332295734175416,0.9565891472868217,1.7745352586110432,0.39166666666666666,0.30462959139429724,0.3182333539476397
12,0.024982372474993846,0.9627906976744186,1.782379643122355,0.36666666666666664,0.2647058823529412,0.28695114409400124
13,0.021809179428242897,0.9720930232558139,1.6395418961842856,0.35833333333333334,0.29059424502977416,0.29749020820449396
14,0.014062654117281123,0.9736434108527132,1.7721262137095133,0.39166666666666666,0.2828030467400465,0.3075139146567718
