epoch,train_loss,train_acc,val_loss,val_acc,val_uf1,val_uar
1,4.399072179043513,0.18090452261306533,1.5786995149794079,0.13095238095238096,0.08200980371958999,0.1870412196499153
2,3.519770303962618,0.4304857621440536,1.5230294976915633,0.21428571428571427,0.20319316983297644,0.2498448827534285
3,3.158440712908005,0.5309882747068677,1.49886193161919,0.20833333333333334,0.1910448323840465,0.2218192851626135
4,2.7668059223660673,0.6599664991624791,1.5056186403547014,0.2976190476190476,0.23454254899383797,0.27467678498413134
5,2.420915210666369,0.7805695142378559,1.5562660239991688,0.21428571428571427,0.1773351503809725,0.1769472406653816
6,2.1745517273843786,0.8207705192629816,1.5829036179042997,0.30952380952380953,0.23095216048566172,0.2644838295138145
7,2.0518336491768485,0.88107202680067,1.5480420759746008,0.22023809523809523,0.19039007845507966,0.23454912154312454
8,1.9086446244912332,0.9296482412060302,1.5533669562566847,0.27380952380952384,0.21843988051214916,0.2608338687798958
9,1.8293175613460828,0.9463986599664992,1.5398879391806466,0.27976190476190477,0.22716883839916355,0.28182580787528316
10,1.7797047472878718,0.9581239530988275,1.5344765867505754,0.25,0.20181618101786172,0.25825155604016176
11,1.7354120573206762,0.9765494137353434,1.5455992903028215,0.2857142857142857,0.22064441707874868,0.2485323896493312
12,1.6683284285879214,0.9731993299832495,1.5752080054510207,0.2261904761904762,0.18721364317130965,0.2471142675415539
13,1.6615138585044311,0.9798994974874372,1.540413606734503,0.22023809523809523,0.19694015617943084,0.24541868676051587
14,1.6236080308655398,0.9882747068676717,1.54092272122701,0.24404761904761904,0.21188663553195572,0.25577227619956255
15,1.6131554177059002,0.983249581239531,1.5521429947444372,0.18452380952380953,0.1634894267980164,0.22935528988752377
16,1.6122519404844224,0.9916247906197655,1.560442742847261,0.25595238095238093,0.1953513993848868,0.2578694419024254
