epoch,train_loss,train_acc,val_loss,val_acc,val_uf1,val_uar
1,1.4452121756330107,0.17200674536256325,1.3479587033737537,0.1569767441860465,0.12087044239316883,0.17794499526065394
2,1.16673143366336,0.3844856661045531,1.3599899175555208,0.12790697674418605,0.15841835691459755,0.17686865284214082
3,0.9146807644057636,0.4873524451939292,1.3046350257341253,0.27325581395348836,0.25290407235904105,0.2875988085814822
4,0.6926113062021503,0.5446880269814502,1.3521549673967583,0.22093023255813954,0.21732061589204446,0.2202257856052748
5,0.5341412259193536,0.6475548060708263,1.3868107767992242,0.19767441860465115,0.20313638335257775,0.23533858406521493
6,0.4043227268310663,0.6711635750421585,1.4065812271694804,0.28488372093023256,0.23808762419689514,0.26390106657388096
7,0.311458242432062,0.7436762225969646,1.504671110663303,0.2616279069767442,0.22771436758147726,0.24547426645693998
8,0.23050115552760697,0.8178752107925801,1.6466339521629865,0.2441860465116279,0.21300181244708982,0.22608189412339116
9,0.18164400834257244,0.8330522765598651,1.6284899157147075,0.22093023255813954,0.18929667412493664,0.22137294002500588
10,0.10694097346841384,0.8903878583473862,1.583984796390977,0.27325581395348836,0.1975108225108225,0.22889119533692856
11,0.09038228449893843,0.9038785834738617,1.6623443919558858,0.313953488372093,0.2742852599415763,0.2911617078253727
12,0.08692733413252421,0.9005059021922428,1.5976087908412135,0.313953488372093,0.23746914218746343,0.2520905923881321
13,0.07023345828558904,0.9342327150084317,1.6245660005613816,0.32558139534883723,0.2696160977544933,0.28767404083495
14,0.04981477058556993,0.9426644182124789,1.6442231411157653,0.36627906976744184,0.2828728093984098,0.29116815127765744
15,0.04410257716906613,0.9629005059021922,1.7086901332056799,0.29069767441860467,0.21721949385814934,0.2426089533902653
16,0.041641744290294776,0.9578414839797639,1.7236758276473645,0.29651162790697677,0.23527019559654336,0.23586111945681124
17,0.03187483336782777,0.9730185497470489,1.7372651183327963,0.38953488372093026,0.25097431304327855,0.27803564781699575
18,0.03666764905465795,0.9561551433389545,1.701376665470212,0.31976744186046513,0.24931121721356803,0.2721627159507639
19,0.02303809266141655,0.9679595278246206,1.6952778128690498,0.36627906976744184,0.2835942095348247,0.2864220978481992
20,0.022073820735913706,0.9814502529510961,1.7097931850788206,0.32558139534883723,0.238636993258842,0.25812166372664913
21,0.028056921352574236,0.9814502529510961,1.742352701896845,0.3488372093023256,0.27222921847643294,0.2712709905354263
22,0.029612171785626404,0.9747048903878583,1.6908127346704172,0.31976744186046513,0.27798509043725667,0.2794559342414247
23,0.02420122670810701,0.9780775716694773,1.7184769109238025,0.37209302325581395,0.22619934898512703,0.2353323825172822
24,0.02203763265030782,0.9831365935919055,1.6567705786505411,0.3081395348837209,0.21986049640163813,0.2334518180849365
25,0.01793109668924475,0.9797639123102867,1.6910730738972508,0.3546511627906977,0.24639966854858925,0.26248078014945203
26,0.02032364208194699,0.9730185497470489,1.6980628329654073,0.29651162790697677,0.22727575544082543,0.24476412324472552
27,0.02427507259114999,0.9780775716694773,1.7179606459861578,0.32558139534883723,0.21842938336463177,0.2414683303880379
