epoch,train_loss,train_acc,val_loss,val_acc,val_uf1,val_uar
1,1.4609782433470677,0.16912972085385877,1.383918133648959,0.16883116883116883,0.11880312880101483,0.15258857885585994
2,1.0984339090110047,0.3957307060755337,1.3932053887998903,0.2922077922077922,0.18783445099234575,0.2344065304894798
3,0.7430976031253295,0.4975369458128079,1.4369817027797946,0.3246753246753247,0.1892865167637665,0.2209145181495412
4,0.49525632167293127,0.6420361247947455,1.4618222868287718,0.3116883116883117,0.17343388255700523,0.19402947283131614
5,0.2530259761121277,0.7799671592775042,1.588977014863646,0.3116883116883117,0.18106931612944566,0.19564786212251647
6,0.23311433974158,0.8144499178981938,1.551607608795166,0.2792207792207792,0.20627183250839165,0.21579240012419737
7,0.14269964957276393,0.8784893267651889,1.6276119715207582,0.3246753246753247,0.1979403743064046,0.20968304608857605
8,0.12027364670740952,0.8489326765188834,1.6102861429189708,0.38311688311688313,0.24265242247133598,0.2601001149388246
9,0.06483752797977091,0.9458128078817734,1.6772231188687412,0.34415584415584416,0.2243306413474481,0.2362907829497691
10,0.056699783821117705,0.9556650246305419,1.7277289118085588,0.34415584415584416,0.19308216622333885,0.2033473439003393
11,0.03749359292643411,0.9655172413793104,1.700080952087006,0.37662337662337664,0.2178205584559405,0.22857250276605118
12,0.04084297183943891,0.9441707717569786,1.7599744920606737,0.37662337662337664,0.19506802721088437,0.21977177967961378
13,0.04939070735463172,0.9425287356321839,1.7536298640362629,0.2987012987012987,0.18948452576800467,0.20351384406683945
14,0.03136173752557076,0.9704433497536946,1.7637399698232676,0.3246753246753247,0.2113579588093459,0.2152348419629526
15,0.029778301446700135,0.9638752052545156,1.7967730125823578,0.3246753246753247,0.16745308052298938,0.19618169848584596
16,0.022156072612270736,0.9720853858784894,1.8135603929494883,0.33116883116883117,0.18481854280173607,0.20612413699971305
