epoch,train_loss,train_acc,val_loss,val_acc,val_uf1,val_uar
1,1.455701128330106,0.15849673202614378,1.6417558224785407,0.2781456953642384,0.17920194645388604,0.24656084656084656
2,1.1066898730845234,0.369281045751634,1.595788150433673,0.2052980132450331,0.15040455997902807,0.20911493477282947
3,0.8444467163553425,0.47549019607843135,1.6100706154147522,0.17880794701986755,0.16158809675518684,0.2190007604481289
4,0.5836525292567958,0.5473856209150327,1.6237159138483717,0.2185430463576159,0.20569157339134606,0.22163830669469764
5,0.3770260847861471,0.6650326797385621,1.7070303105360625,0.19205298013245034,0.180099793400286,0.20913138309754853
6,0.23878373390708874,0.7581699346405228,1.8598181301394836,0.2781456953642384,0.24959399695978138,0.2600739868597011
7,0.17894260687570945,0.7924836601307189,1.8838107443803194,0.2119205298013245,0.17373764095303773,0.2273589957800484
8,0.11709181448213415,0.8513071895424836,1.8091807649625058,0.2582781456953642,0.22467098725441328,0.23189238358411288
9,0.11635164268850501,0.8578431372549019,1.8367673229697525,0.2582781456953642,0.22273536162494492,0.22500416945905669
10,0.062045345362884544,0.923202614379085,1.8644456058148517,0.25165562913907286,0.2063709056190259,0.21175527340940875
11,0.040309774451980404,0.9411764705882353,1.9320652737522757,0.24503311258278146,0.20316318120601123,0.20523573126956587
12,0.04311308366995232,0.9395424836601307,1.9443347801435862,0.2185430463576159,0.2032981085410753,0.19283721360789027
13,0.0305341123816332,0.954248366013072,1.9194542319569368,0.26490066225165565,0.22364382802324673,0.22667623729653805
14,0.025933782247449057,0.9558823529411765,1.955200312153393,0.23841059602649006,0.20688121402407117,0.21284055682551925
