epoch,train_loss,train_acc,val_loss,val_acc,anger_recall,disgust_recall,fear_recall,happy_recall,others_recall,sad_recall,surprise_recall
1,1.0378837148113365,0.2588757396449704,0.8353405899471706,0.06111111111111111,0.3333333333333333,0.0,0.0,0.7,0.0,0.0,0.0
2,0.6946919749121694,0.3801775147928994,0.7908195389641656,0.08888888888888889,0.25,0.0,0.2777777777777778,0.3,0.0,0.4166666666666667,0.0
3,0.5188553456724043,0.4452662721893491,0.8367412779066298,0.06111111111111111,0.3333333333333333,0.0,0.16666666666666666,0.2,0.0,0.16666666666666666,0.0
4,0.32733494925075735,0.5532544378698225,0.8168629699283176,0.07222222222222222,0.4166666666666667,0.0,0.16666666666666666,0.2,0.0,0.25,0.0
5,0.2687040011910997,0.606508875739645,0.8238885031806098,0.12777777777777777,0.4166666666666667,0.02564102564102564,0.05555555555555555,0.2,0.20588235294117646,0.5,0.0
6,0.19621274562982413,0.6642011834319527,0.8844755013783773,0.14444444444444443,0.25,0.07692307692307693,0.0,0.2,0.2647058823529412,0.4166666666666667,0.0625
7,0.1721831029336128,0.7322485207100592,0.8177518341276381,0.20555555555555555,0.4166666666666667,0.08974358974358974,0.16666666666666666,0.3,0.35294117647058826,0.4166666666666667,0.125
8,0.12585228275970595,0.7751479289940828,0.8604310353597006,0.2388888888888889,0.16666666666666666,0.08974358974358974,0.16666666666666666,0.3,0.6764705882352942,0.25,0.125
